EGP,LBP,JOD,CHF,SEK,ZAR,NOK,DKK,CAD,AUD,EUR,JPY,GBP,USD,Date
0.118,0.0024,5.1415,4.2695,0.356,0.1939,0.3519,0.5341,2.7344,2.4543,3.9833,2.5518,4.6048,3.647,3/1/2024
0.1169,0.0024,5.1006,4.263,0.3582,0.197,0.3543,0.5335,2.73,2.4634,3.9773,2.5536,4.5849,3.618,2/1/2024
0.1173,0.0024,5.1125,4.3135,0.3627,0.1954,0.3559,0.5382,2.7391,2.4753,4.0116,2.5637,4.6209,3.627,29/12/2023
0.1169,0.0024,5.1021,4.3232,0.3644,0.1953,0.3572,0.5396,2.737,2.476,4.0222,2.5692,4.6198,3.619,28/12/2023
0.1173,0.0024,5.1038,4.2483,0.3628,0.1962,0.3571,0.5374,2.7452,2.4786,4.0066,2.5416,4.6132,3.624,27/12/2023
0.1174,0.0024,5.1132,4.2317,0.3607,0.1947,0.3539,0.5362,2.739,2.4705,3.9973,2.5475,4.6058,3.628,26/12/2023
0.1165,0.0024,5.0716,4.2052,0.3584,0.1954,0.3517,0.5313,2.7112,2.4443,3.9616,2.5314,4.5698,3.599,22/12/2023
0.1168,0.0024,5.0955,4.2093,0.3576,0.1971,0.3509,0.5325,2.7075,2.4439,3.9705,2.5332,4.5762,3.616,21/12/2023
0.118,0.0024,5.1404,4.2174,0.3586,0.1988,0.3538,0.5351,2.7327,2.4658,3.9901,2.5409,4.6091,3.648,20/12/2023
0.1178,0.0024,5.1357,4.207,0.3571,0.197,0.351,0.5345,2.7213,2.4534,3.985,2.5162,4.6288,3.643,19/12/2023
0.1182,0.0024,5.1494,4.2076,0.3576,0.1971,0.3511,0.5348,2.7341,2.4566,3.9869,2.5582,4.6243,3.653,18/12/2023
0.1183,0.0024,5.1554,4.2205,0.3577,0.2019,0.3494,0.5378,2.7348,2.4598,4.0095,2.5833,4.6753,3.658,15/12/2023
0.1192,0.0025,5.1926,4.2485,0.3598,0.1989,0.3491,0.5399,2.7426,2.4732,4.0259,2.6006,4.6847,3.685,14/12/2023
0.1201,0.0025,5.2283,4.2356,0.3546,0.1943,0.3376,0.5365,2.7291,2.4308,4.0001,2.5471,4.6449,3.71,13/12/2023
