CAD,Date
2.7344,3/1/2024
2.73,2/1/2024
2.7391,29/12/2023
2.737,28/12/2023
2.7452,27/12/2023
2.739,26/12/2023
2.7112,22/12/2023
2.7075,21/12/2023
2.7327,20/12/2023
2.7213,19/12/2023
2.7341,18/12/2023
2.7348,15/12/2023
2.7426,14/12/2023
2.7291,13/12/2023
2.7326,12/12/2023
2.7341,11/12/2023
2.721,8/12/2023
2.7224,7/12/2023
2.7305,6/12/2023
2.7469,5/12/2023
2.7369,4/12/2023
2.7644,1/12/2023
2.7281,30/11/2023
2.7083,29/11/2023
2.728,28/11/2023
2.7324,27/11/2023
2.73,24/11/2023
2.7259,23/11/2023
2.7152,22/11/2023
2.706,21/11/2023
2.7171,20/11/2023
2.7127,17/11/2023
2.7574,16/11/2023
2.7522,15/11/2023
2.7723,14/11/2023
2.8005,13/11/2023
2.8049,10/11/2023
2.7935,9/11/2023
2.7937,8/11/2023
2.8125,7/11/2023
2.8408,6/11/2023
2.9003,3/11/2023
2.872,2/11/2023
2.9028,1/11/2023
2.9051,31/10/2023
2.9314,30/10/2023
2.9542,27/10/2023
2.9533,26/10/2023
2.9483,25/10/2023
2.966,24/10/2023
2.96,23/10/2023
2.9505,20/10/2023
2.9352,19/10/2023
2.9509,18/10/2023
2.9396,17/10/2023
2.9252,16/10/2023
2.9042,13/10/2023
2.9114,12/10/2023
2.9098,11/10/2023
2.9046,10/10/2023
2.8616,9/10/2023
2.8157,6/10/2023
2.7998,5/10/2023
2.8183,4/10/2023
2.8079,3/10/2023
2.818,2/10/2023
2.8425,29/09/2023
2.8555,28/09/2023
2.8428,27/09/2023
2.8297,26/09/2023
2.8334,22/09/2023
2.818,21/09/2023
2.8376,20/09/2023
2.8294,19/09/2023
2.8321,18/09/2023
2.8278,14/09/2023
2.8143,13/09/2023
2.7956,12/9/2023
2.8277,11/9/2023
2.8134,8/9/2023
2.8171,7/9/2023
2.7909,6/9/2023
2.7778,5/9/2023
2.8008,4/9/2023
2.8086,1/9/2023
2.8048,31/08/2023
2.7992,30/08/2023
2.795,29/08/2023
2.7914,28/08/2023
2.797,25/08/2023
2.7848,24/08/2023
2.7904,23/08/2023
2.7939,22/08/2023
2.8086,21/08/2023
2.7995,18/08/2023
2.7943,17/08/2023
2.7809,16/08/2023
2.7888,15/08/2023
2.7701,14/08/2023
2.7713,11/8/2023
2.7751,10/8/2023
2.7694,9/8/2023
2.7492,8/8/2023
2.7467,7/8/2023
2.7585,4/8/2023
2.7576,3/8/2023
2.7456,2/8/2023
2.7521,1/8/2023
2.7943,31/07/2023
2.8062,28/07/2023
2.8082,26/07/2023
2.8207,25/07/2023
2.7456,24/07/2023
2.7448,21/07/2023
2.7365,20/07/2023
2.7223,19/07/2023
2.7529,18/07/2023
2.7502,17/07/2023
2.7505,14/07/2023
2.7479,13/07/2023
2.7731,12/7/2023
2.7952,11/7/2023
2.7897,10/7/2023
2.7791,7/7/2023
2.7846,6/7/2023
2.7853,5/7/2023
2.8007,4/7/2023
2.8018,3/7/2023
2.7898,30/06/2023
2.7842,29/06/2023
2.7808,28/06/2023
2.7634,27/06/2023
2.754,26/06/2023
2.7499,23/06/2023
2.7553,22/06/2023
2.7256,21/06/2023
2.7273,20/06/2023
2.7279,19/06/2023
2.6877,16/06/2023
2.689,15/06/2023
2.7168,14/06/2023
2.6646,13/06/2023
2.692,12/6/2023
2.7224,9/6/2023
2.7424,8/6/2023
2.7308,7/6/2023
2.7665,6/6/2023
2.7773,5/6/2023
2.7904,2/6/2023
2.7544,1/6/2023
2.722,31/05/2023
2.7303,30/05/2023
2.7429,25/05/2023
2.7518,24/05/2023
2.712,23/05/2023
2.7045,22/05/2023
2.7026,19/05/2023
2.7009,18/05/2023
2.7055,17/05/2023
2.7187,16/05/2023
2.7009,15/05/2023
2.7016,12/5/2023
2.7185,11/5/2023
2.7451,10/5/2023
2.7341,9/5/2023
2.7231,8/5/2023
2.7028,5/5/2023
2.6715,4/5/2023
2.67,3/5/2023
2.6659,2/5/2023
2.6657,1/5/2023
2.6671,28/04/2023
2.6675,27/04/2023
2.6796,25/04/2023
2.7028,24/04/2023
2.7038,21/04/2023
2.7131,20/04/2023
2.7208,19/04/2023
2.7278,18/04/2023
2.7286,17/04/2023
2.7469,14/04/2023
2.7293,13/04/2023
2.6863,11/4/2023
2.6524,4/4/2023
2.6685,3/4/2023
2.6667,31/03/2023
2.6469,30/03/2023
2.624,29/03/2023
2.5847,28/03/2023
2.5954,27/03/2023
2.6408,24/03/2023
2.6421,23/03/2023
2.6581,22/03/2023
2.6701,21/03/2023
2.6824,20/03/2023
2.6767,17/03/2023
2.6691,16/03/2023
2.6472,15/03/2023
2.6545,14/03/2023
2.6317,13/03/2023
2.5981,10/3/2023
2.61,9/3/2023
2.6333,6/3/2023
2.7013,3/3/2023
2.6755,2/3/2023
2.6747,1/3/2023
2.7031,28/02/2023
2.7008,27/02/2023
2.6952,24/02/2023
2.6706,23/02/2023
2.7031,22/02/2023
2.711,21/02/2023
2.6467,20/02/2023
2.6407,17/02/2023
2.642,16/02/2023
2.6323,15/02/2023
2.6261,14/02/2023
2.6551,13/02/2023
2.6111,10/2/2023
2.6044,9/2/2023
2.5979,8/2/2023
2.5861,7/2/2023
2.5844,6/2/2023
2.5455,3/2/2023
2.5751,2/2/2023
2.5954,1/2/2023
2.5847,31/01/2023
2.6014,30/01/2023
2.5769,27/01/2023
2.5391,26/01/2023
2.5202,25/01/2023
2.5249,24/01/2023
2.5268,23/01/2023
2.5306,20/01/2023
2.5254,19/01/2023
2.5297,18/01/2023
2.5477,17/01/2023
2.552,16/01/2023
2.5548,13/01/2023
2.5554,12/1/2023
2.5733,11/1/2023
2.5931,10/1/2023
2.6127,9/1/2023
2.6098,6/1/2023
2.6131,5/1/2023
2.6037,4/1/2023
2.5918,3/1/2023
2.5966,30/12/2022
2.5993,29/12/2022
2.6113,28/12/2022
2.594,27/12/2022
2.5675,23/12/2022
2.5508,22/12/2022
2.5513,21/12/2022
2.5443,20/12/2022
2.52,19/12/2022
2.5265,16/12/2022
2.5225,15/12/2022
2.5136,14/12/2022
2.5201,13/12/2022
2.5074,12/12/2022
2.5082,9/12/2022
2.5281,8/12/2022
2.5184,7/12/2022
2.5015,6/12/2022
2.5235,5/12/2022
2.5144,2/12/2022
2.5409,1/12/2022
2.5455,30/11/2022
2.5491,29/11/2022
2.5589,28/11/2022
2.5587,25/11/2022
2.5614,24/11/2022
2.5724,23/11/2022
2.5946,22/11/2022
2.5809,21/11/2022
2.6068,18/11/2022
2.586,17/11/2022
2.5791,16/11/2022
2.5865,15/11/2022
2.5855,14/11/2022
2.5933,11/11/2022
2.6272,10/11/2022
2.6378,9/11/2022
