id,EN
1,USD
2,¢.SAL
3,CHF
4,DEM
5,SEK
6,FRF
7,NOK
8,NLG
9,ATS
10,DKK
11,ITL
12,JPY
13,ZAR
14,FIM
15,CAD
16,BEF
17,URO.SL
18,AUD
19,GBP
20,XDR
21,JOD
22,¢ E.SL
23,LBP
24,EGP
25,KES
26,NGN
27,ESP
28,IEP
29,IDR
30,IRR
31,GRD
32,BGN
33,CYP
34,SGD
35,THB
36,VEB
37,MXN
38,ZAL
39,c
40,HKD
41,BRL
42,XEU
43,SAL-CR
44,MAZAD
45,GOLD
46,NZD
47,I.S.F.
48,PTE
49,EUR
50,ZLOT.P
51,SKK
53,RUP.IN
54,CNY
55,TWD
56,HRK
57,CZK
58,FOR.HU
59,SILVER
60,PLATIN
61,PALADI
62,RUB
63,ARS
64,KO.WON
65,TRT
66,TRY
67,UYU
68,ISK
69,RON
70,CLP
71,COP
72,PEN
73,PHP
74,UAH
75,MYR
76,BLS
77,MCU
78,VND
79,MAL
80,N.I.S.
81,CNH
82,RSD
83,MKD
84,BAM
85,BYN
86,PYG
990,LO YAD
